Postcode,Bevolking,Inkomen,Gemiddelde_leeftijd,Private_households,Institutional_household,Single_persons,Single_parent,Couple_with_kids,Couple_no_kids,Kid_living_with_parents,Other_household_member,nulTotTien,tienTotTwintig,twintigTotDertig,dertigTotVeertig,veertigTotVijftig,vijftigTotZestig,zestigTotZeventig,zeventigPlus
8753,85.0,37.3,48.38235294117647,1.0,0.0,0.17647058823529413,0.058823529411764705,0.23529411764705882,0.29411764705882354,0.23529411764705882,0.0,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.23529411764705882,0.11764705882352941,0.17647058823529413
8754,3525.0,32.8,44.12921348314607,0.9872340425531915,0.01276595744680851,0.15319148936170213,0.028368794326241134,0.23120567375886525,0.30354609929078014,0.26099290780141843,0.009929078014184398,0.10252808988764045,0.12780898876404495,0.08848314606741572,0.09691011235955056,0.13202247191011235,0.1404494382022472,0.14887640449438203,0.16292134831460675
8755,115.0,32.8,39.88095238095238,1.0,0.0,0.043478260869565216,0.0,0.34782608695652173,0.2608695652173913,0.34782608695652173,0.0,0.19047619047619047,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.23809523809523808,0.14285714285714285,0.09523809523809523
8756,45.0,32.8,40.22727272727273,1.0,0.0,0.0,0.0,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.09090909090909091
8757,200.0,32.8,46.30952380952381,1.0,0.0,0.125,0.05,0.175,0.35,0.275,0.025,0.09523809523809523,0.11904761904761904,0.047619047619047616,0.09523809523809523,0.14285714285714285,0.19047619047619047,0.11904761904761904,0.19047619047619047
8758,100.0,32.8,35.555555555555564,1.0,0.0,0.05,0.0,0.3,0.25,0.3,0.1,0.1111111111111111,0.2777777777777778,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.05555555555555555
8759,460.0,36.0,40.05434782608695,1.0,0.0,0.08695652173913043,0.010869565217391304,0.2826086956521739,0.31521739130434784,0.30434782608695654,0.0,0.10869565217391304,0.16304347826086957,0.09782608695652174,0.10869565217391304,0.14130434782608695,0.13043478260869565,0.13043478260869565,0.11956521739130435
8761,220.0,36.0,40.611111111111114,1.0,0.0,0.06818181818181818,0.022727272727272728,0.3181818181818182,0.2727272727272727,0.3181818181818182,0.0,0.13333333333333333,0.08888888888888889,0.13333333333333333,0.13333333333333333,0.08888888888888889,0.2,0.13333333333333333,0.08888888888888889
8762,85.0,36.0,42.77777777777778,1.0,0.0,0.058823529411764705,0.0,0.29411764705882354,0.23529411764705882,0.4117647058823529,0.0,0.1111111111111111,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.1111111111111111
8763,475.0,36.9,41.532258064516135,1.0,0.0,0.1368421052631579,0.010526315789473684,0.24210526315789474,0.3263157894736842,0.2736842105263158,0.010526315789473684,0.12903225806451613,0.11827956989247312,0.10752688172043011,0.10752688172043011,0.10752688172043011,0.15053763440860216,0.15053763440860216,0.12903225806451613
